,source,num_labeled,percent_broken,pretrained,test,val,score
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.9211368560791,19.039518356323242,2125.470703125
cmapss_two_baseline,2,208.0,0.8,autoencoder,16.413057327270508,18.10834312438965,1555.08837890625
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.93628692626953,20.233718872070312,2222.07373046875
cmapss_two_baseline,2,208.0,0.8,autoencoder,16.45529556274414,18.196592330932617,1468.9324951171875
cmapss_two_baseline,2,208.0,0.8,autoencoder,17.111257553100586,18.76468849182129,1582.3212890625
cmapss_two_baseline,2,208.0,0.8,autoencoder,16.570077896118164,18.16851043701172,1800.489501953125
cmapss_two_baseline,2,4.0,0.9,autoencoder,26.165990829467773,27.22089958190918,23626.15625
cmapss_two_baseline,2,4.0,0.9,autoencoder,37.22310256958008,39.41649627685547,118991.46875
cmapss_two_baseline,2,4.0,0.9,autoencoder,24.352806091308594,25.444082260131836,20294.0234375
cmapss_two_baseline,2,4.0,0.9,autoencoder,43.98817443847656,41.57474899291992,75511.6015625
cmapss_two_baseline,2,4.0,0.9,autoencoder,37.257999420166016,36.0162467956543,199842.75
cmapss_two_baseline,2,4.0,0.9,autoencoder,29.751256942749023,29.31550407409668,43976.203125
cmapss_two_baseline,2,4.0,0.9,autoencoder,34.884220123291016,32.87784194946289,107402.96875
cmapss_two_baseline,2,4.0,0.9,autoencoder,32.538578033447266,33.04692840576172,178168.953125
cmapss_two_baseline,2,4.0,0.9,autoencoder,24.37331771850586,25.916669845581055,10801.2578125
cmapss_two_baseline,2,4.0,0.9,autoencoder,24.970130920410156,25.175735473632812,6826.875
cmapss_two_baseline,2,20.0,0.9,autoencoder,22.384305953979492,22.770671844482422,14077.8291015625
cmapss_two_baseline,2,20.0,0.9,autoencoder,24.65760040283203,24.178701400756836,10032.9599609375
cmapss_two_baseline,2,20.0,0.9,autoencoder,23.83740234375,23.79653549194336,12005.236328125
cmapss_two_baseline,2,20.0,0.9,autoencoder,23.857158660888672,25.036510467529297,7961.24755859375
cmapss_two_baseline,2,20.0,0.9,autoencoder,25.328577041625977,25.09819793701172,25217.75
cmapss_two_baseline,2,20.0,0.9,autoencoder,22.41459846496582,22.249723434448242,6120.6494140625
cmapss_two_baseline,2,20.0,0.9,autoencoder,24.907245635986328,25.363630294799805,21502.52734375
cmapss_two_baseline,2,20.0,0.9,autoencoder,23.864368438720703,24.837562561035156,18032.7890625
cmapss_two_baseline,2,20.0,0.9,autoencoder,22.424381256103516,24.812658309936523,9685.2177734375
cmapss_two_baseline,2,20.0,0.9,autoencoder,23.302751541137695,24.980802536010742,22999.6640625
cmapss_two_baseline,2,41.0,0.9,autoencoder,22.004819869995117,22.927505493164062,6168.15625
cmapss_two_baseline,2,41.0,0.9,autoencoder,20.541160583496094,21.213722229003906,4384.41748046875
cmapss_two_baseline,2,41.0,0.9,autoencoder,21.408105850219727,21.80246925354004,9133.119140625
cmapss_two_baseline,2,41.0,0.9,autoencoder,22.041248321533203,21.95041275024414,9523.384765625
cmapss_two_baseline,2,41.0,0.9,autoencoder,22.237760543823242,23.60771369934082,6983.2109375
cmapss_two_baseline,2,41.0,0.9,autoencoder,23.448911666870117,23.069711685180664,11008.5625
cmapss_two_baseline,2,41.0,0.9,autoencoder,24.01183319091797,23.68819236755371,15488.044921875
cmapss_two_baseline,2,41.0,0.9,autoencoder,22.267887115478516,23.15121841430664,5890.5458984375
cmapss_two_baseline,2,41.0,0.9,autoencoder,21.985675811767578,23.260177612304688,5208.16015625
cmapss_two_baseline,2,41.0,0.9,autoencoder,23.038692474365234,24.05880355834961,7557.41064453125
cmapss_two_baseline,2,83.0,0.9,autoencoder,19.2977294921875,20.930599212646484,2626.147216796875
cmapss_two_baseline,2,83.0,0.9,autoencoder,19.35934829711914,20.288541793823242,3698.81005859375
cmapss_two_baseline,2,83.0,0.9,autoencoder,20.966806411743164,21.21820640563965,5113.83203125
cmapss_two_baseline,2,83.0,0.9,autoencoder,21.2259578704834,21.379762649536133,3986.3740234375
cmapss_two_baseline,2,83.0,0.9,autoencoder,19.477073669433594,20.744247436523438,4004.688232421875
cmapss_two_baseline,2,83.0,0.9,autoencoder,22.101240158081055,22.01966094970703,6980.9990234375
cmapss_two_baseline,2,83.0,0.9,autoencoder,23.537399291992188,23.43999671936035,15096.8349609375
cmapss_two_baseline,2,83.0,0.9,autoencoder,20.723674774169922,21.365001678466797,5662.76220703125
cmapss_two_baseline,2,83.0,0.9,autoencoder,20.639699935913086,21.324966430664062,4131.3798828125
cmapss_two_baseline,2,83.0,0.9,autoencoder,19.731761932373047,20.733057022094727,2958.623291015625
cmapss_two_baseline,2,208.0,0.9,autoencoder,18.056276321411133,18.87770652770996,2308.11962890625
cmapss_two_baseline,2,208.0,0.9,autoencoder,17.883668899536133,18.755264282226562,2022.84375
cmapss_two_baseline,2,208.0,0.9,autoencoder,17.67936897277832,18.956497192382812,1708.343505859375
cmapss_two_baseline,2,208.0,0.9,autoencoder,17.42500877380371,18.523826599121094,1706.451416015625
cmapss_two_baseline,2,208.0,0.9,autoencoder,17.7431640625,18.154096603393555,1797.53662109375
cmapss_two_baseline,2,208.0,0.9,autoencoder,18.350242614746094,18.542390823364258,2476.880615234375
cmapss_two_baseline,2,208.0,0.9,autoencoder,16.718387603759766,18.274335861206055,1497.724853515625
cmapss_two_baseline,2,208.0,0.9,autoencoder,16.723356246948242,18.498865127563477,1809.4169921875
cmapss_two_baseline,2,208.0,0.9,autoencoder,17.571107864379883,18.437023162841797,1912.8355712890625
cmapss_two_baseline,2,208.0,0.9,autoencoder,17.382780075073242,18.796998977661133,1542.6846923828125
cmapss_two_baseline,2,208.0,0.9,rbm,17.26718521118164,18.399539947509766,1564.28564453125
cmapss_two_baseline,2,208.0,0.9,rbm,17.19664192199707,18.616872787475586,2154.58837890625
cmapss_two_baseline,2,208.0,0.9,rbm,17.897571563720703,18.912633895874023,1809.7939453125
